date,days,total_spend,total_apps,total_ev,roas,meta_spend,meta_apps,meta_ev,google_spend,google_apps,google_ev
2026-03-31,7,18700,25,32200,1.7
2026-03-31,7,18700,47,835300,44.7

2026-04-07,7,18398.66,56,264749.10,14.4,3409.06,25,178894.58,14989.60,31,85854.52
2026-05-13,7,,33.46,,
